Reynolds_Number,Lambda_0,Lambda_1,L1_Norm_Laminar,L1_Norm_Sharded,Eigenvalue_Gap
2985897.862921324,0.003119337,0.03444210121037724,1.5388849129696984,1.5388849129696984,0.03132276421037724
2988356.403771815,0.003119337,0.03442213132361004,1.5395693389575034,1.5395693389575034,0.03130279432361004
2990814.944622306,0.003119337,0.03440214868874654,1.5402545649310608,1.5402545649310608,0.03128281168874654
2993273.4854727974,0.003119337,0.03438215328134165,1.5409405929825255,1.5409405929825255,0.03126281628134165
2995732.026323288,0.003119337,0.03436214507687209,1.5416274252120454,1.5416274252120454,0.03124280807687209
2998190.567173779,0.003119337,0.03434212405073601,1.5423150637278031,1.5423150637278031,0.031222787050736008
3000649.1080242703,0.003119337,0.03432209017825258,1.543003510646057,1.543003510646057,0.03120275317825258
3003107.648874761,0.003119337,0.034302043434661755,1.5436927680911818,1.5436927680911818,0.031182706434661756
3005566.1897252523,0.003119337,0.03428198379512379,1.544382838195713,1.544382838195713,0.03116264679512379
3008024.730575743,0.003119337,0.03426191123471898,1.5450737231003857,1.5450737231003857,0.03114257423471898
3010483.2714262344,0.003119337,0.03424182572844725,1.5457654249541797,1.5457654249541797,0.03112248872844725
3012941.812276725,0.003119337,0.034221727251227796,1.5464579459143606,1.5464579459143606,0.031102390251227796
3015400.353127216,0.003119337,0.034201615777898736,1.547151288146523,1.547151288146523,0.031082278777898736
3017858.8939777073,0.003119337,0.034181491283216694,1.5478454538246347,1.5478454538246347,0.031062154283216695
3020317.434828198,0.003119337,0.03416135374185653,1.5485404451310785,1.5485404451310785,0.031042016741856533
3022775.9756786893,0.003119337,0.03414120312841085,1.5492362642566977,1.5492362642566977,0.031021866128410854
3025234.51652918,0.003119337,0.03412103941738973,1.5499329134008386,1.5499329134008386,0.031001702417389733
3027693.0573796714,0.003119337,0.034100862583220266,1.5506303947713955,1.5506303947713955,0.030981525583220267
3030151.598230162,0.003119337,0.03408067260024625,1.551328710584857,1.551328710584857,0.030961335600246248
3032610.139080653,0.003119337,0.03406046944272775,1.552027863066347,1.552027863066347,0.030941132442727753
3035068.679931144,0.003119337,0.034040253084840745,1.552727854449674,1.552727854449674,0.030920916084840745
3037527.2207816355,0.003119337,0.03402002350067676,1.5534286869773746,1.5534286869773746,0.03090068650067676
3039985.7616321263,0.003119337,0.03399978066424243,1.5541303629007581,1.5541303629007581,0.030880443664242432
3042444.302482617,0.003119337,0.033979524549459156,1.5548328844799562,1.5548328844799562,0.030860187549459156
3044902.8433331084,0.003119337,0.033959255130162694,1.555536253983966,1.555536253983966,0.030839918130162694
3047361.384183599,0.003119337,0.03393897238010275,1.5562404736906985,1.5562404736906985,0.030819635380102753
