mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,mode10,mode11,mode12
-0.022747609628634105,-0.02771769756197552,0.02833132966181142,-0.03157492897287944,-0.0004056494473268615,0.016176055783719747,0.030777442676097264,0.019110090648968653,-0.005976617033548304,-0.02848083172484915,-0.02848083172484915,0.022356185458381923
-0.0230632077125938,-0.02814246298179699,0.028701245040344568,-0.0320253989556282,-0.0005341437814936461,0.016581831753418368,0.03132756478456306,0.019597804073326824,-0.005923448977864715,-0.02907867617421049,-0.02907867617421049,0.022846667874114043
-0.023375776163018294,-0.02856334557953504,0.029067200501505294,-0.032470838809349645,-0.0006625542193712632,0.016984520921430313,0.03187185508980893,0.020081206704157247,-0.005868977982044525,-0.029669278679202073,-0.029669278679202073,0.02333118824241882
-0.023684835713233134,-0.02897975183170503,0.02942860065475312,-0.03291056986533383,-0.0007908481715597131,0.017383729929649334,0.03240961479291819,0.020559815764387927,-0.00581310600665587,-0.03025193596603971,-0.03025193596603971,0.02380918275212105
-0.023989864932801752,-0.029391035244423973,0.02978479862416908,-0.03334385473796766,-0.0009189872205563844,0.017779028320357767,0.03294008367825601,0.021033104644957012,-0.0057557297975372994,-0.030825885251409467,-0.030825885251409467,0.0242800401736038
-0.024290742753970834,-0.02979703837991615,0.030135645574385722,-0.033770512430002786,-0.0010469436183772123,0.018170275911137436,0.03346304744654061,0.02150089023668134,-0.005696847608007513,-0.03139087245375521,-0.03139087245375521,0.024743549362685167
-0.02458719636359832,-0.03019741751089951,0.030480804610104998,-0.0341901512459992,-0.0011746824190416844,0.018557218433656986,0.03397808284300865,0.021962854750464347,-0.005636423073319796,-0.03194644804236395,-0.03194644804236395,0.02519934517883178
-0.024878642196301166,-0.030591446662142745,0.030819554074818158,-0.03460194756451457,-0.001302151772406797,0.018939364515852812,0.034484336004829974,0.022418400069311162,-0.005574351152676972,-0.032491757366901824,-0.032491757366901824,0.025646742780247568
-0.025164817719019357,-0.030978793149259585,0.031151571045619688,-0.03500552434909888,-0.0014293118055912052,0.019316460715763754,0.03498139446334617,0.022867209967340048,-0.005510604464848108,-0.03302635984148086,-0.03302635984148086,0.026085383616405746
-0.025445619241890472,-0.03135931934081229,0.031476729682050494,-0.03540072582465404,-0.001556129866235477,0.01968837342910081,0.03546906581978465,0.023309110469192186,-0.005445192731328018,-0.03355002278095267,-0.03355002278095267,0.026515073277127085
-0.02572055541819545,-0.031732409823859005,0.03179442477043355,-0.03578685728612381,-0.0016825492311052892,0.020054669076675097,0.0359466179007037,0.023743572892689708,-0.005378043403821261,-0.03406200395369445,-0.03406200395369445,0.026935214803324843
-0.025989188151268564,-0.032097513824631246,0.03210411776848482,-0.036163298424543515,-0.001808512997276361,0.02041495097861477,0.03641339075531627,0.024170112678418416,-0.00530909955743613,-0.03456162884430209,-0.03456162884430209,0.027345264482322416
-0.026251454235196474,-0.03245454269988877,0.03240573397959465,-0.036529950965848254,-0.001933987239375533,0.02076911316319241,0.036869248097084646,0.024588589945705647,-0.005238384734074026,-0.03504871970578958,-0.03504871970578958,0.027745071446549478
-0.026507062373817752,-0.03280312592955699,0.03269891724660789,-0.03688639971891277,-0.0020589212673291063,0.021116869833019015,0.03731373439423074,0.024998652435472463,-0.005165877215717574,-0.03552279675572518,-0.03552279675572518,0.028134245974019062
-0.02675548014456667,-0.03314259414212181,0.03298301445302459,-0.037231894427895214,-0.002183243863576387,0.021457741224907033,0.03774605433176633,0.0253997188291619,-0.005091510688045772,-0.035983057330563624,-0.035983057330563624,0.028512142626812818
-0.026996543657953093,-0.03347273346893364,0.03325782769173754,-0.03756619820226584,-0.0023069102337650313,0.021791538800827702,0.03816593080477232,0.025791553184652358,-0.0050152935485036085,-0.03642919262784339,-0.03642919262784339,0.028878507082408817
-0.027230160805628838,-0.033793418935347715,0.033523247766895345,-0.03788917459188248,-0.002429880998301711,0.02211813165622123,0.03857318885428682,0.026173988388158067,-0.004937248697928787,-0.03686099263700658,-0.03686099263700658,0.02923316350950758
-0.027455854322784745,-0.03410404763842306,0.033778691480389464,-0.03820015178468097,-0.0025520822390715614,0.02243707648764223,0.03896710903794362,0.026546488255046456,-0.004857329726106275,-0.0372777286033349,-0.0372777286033349,0.02957552492821699
-0.027673292055700287,-0.034404196131003546,0.03402375496568609,-0.038498660535398084,-0.002673450486041789,0.022748045241358227,0.03934717694054274,0.026908653735078863,-0.004775519825283994,-0.03767886841017675,-0.03767886841017675,0.029905160293935074
-0.027882474160828917,-0.03469385365635407,0.034258443492735186,-0.03878469458757141,-0.002793952456408726,0.023050981246214547,0.03971335063872297,0.02726040756700763,-0.004691862153390688,-0.038064333464301686,-0.038064333464301686,0.030221998592039823
-0.028083108517714075,-0.03497264605500427,0.03448240325114478,-0.03905784172101336,-0.0029135260853605013,0.023345587619114493,0.040065173642196354,0.02760138905703897,-0.004606350424725536,-0.03843364980685546,-0.03843364980685546,0.03052565524956672
-0.028274742844996217,-0.03523999937556292,0.03469508428323312,-0.039317467690908055,-0.0030320911009084975,0.023631433050030567,0.04040196131361528,0.027931079390328614,-0.004518954333482191,-0.03878612595503231,-0.03878612595503231,0.03081557306145537
-0.028457322551306966,-0.03549583467454364,0.034896425396578716,-0.03956349210727747,-0.0031496071895587554,0.023908415971982188,0.040723597015893453,0.0282493504377494,-0.004429710722110595,-0.03912161682682068,-0.03912161682682068,0.03109162897928951
-0.02863077497729917,-0.03574005063304186,0.03508634338233698,-0.03979581013123581,-0.0032660321270043973,0.0241764205857224,0.04102993981855376,0.028556057991162787,-0.0043386538678647875,-0.03943995599514967,-0.03943995599514967,0.03135368331953529
-0.028794664347540175,-0.035972092772550625,0.03526431021565493,-0.0400138128924455,-0.003381282214436877,0.02443502524702114,0.04132032990887596,0.028850697352939922,-0.0042457634374882414,-0.039740480232567515,-0.039740480232567515,0.03160120177429195
-0.0289487841844219,-0.03619169249601001,0.03543007944840013,-0.04021721111458328,-0.003495298176335496,0.024684000645832167,0.04159443663960477,0.029132991972670764,-0.00415105631430231,-0.04002284437653034,-0.04002284437653034,0.031833903065759665
-0.029093200952859846,-0.0363989223132293,0.035583739085527505,-0.04040609554086659,-0.0036080527368891296,0.02492334992678681,0.04185232262252984,0.029402940571885885,-0.004054590050604508,-0.040287083579576256,-0.040287083579576256,0.03205180867561398
